# x y u v p
0.000000e+00 9.875000e-01 0.000000e+00 0.000000e+00 -1.020982e+01
1.250000e-02 9.875000e-01 8.762565e-01 1.192571e+00 -7.635653e+00
1.250000e-02 1.000000e+00 1.000000e+01 0.000000e+00 -8.998594e+00
0.000000e+00 1.000000e+00 5.000000e+00 0.000000e+00 -1.288878e+01
2.500000e-02 9.875000e-01 1.392146e+00 9.466840e-01 -4.336007e+00
2.500000e-02 1.000000e+00 1.000000e+01 0.000000e+00 -4.249642e+00
1.250000e-02 9.750000e-01 -3.811743e-01 1.442590e+00 -5.386166e+00
0.000000e+00 9.750000e-01 0.000000e+00 0.000000e+00 -6.132218e+00
3.750000e-02 9.875000e-01 2.092237e+00 7.045109e-01 -3.357820e+00
3.750000e-02 1.000000e+00 1.000000e+01 0.000000e+00 -3.195190e+00
2.500000e-02 9.750000e-01 -4.290659e-01 1.310525e+00 -4.209075e+00
1.250000e-02 9.625000e-01 -3.646727e-01 1.116920e+00 -3.975927e+00
0.000000e+00 9.625000e-01 0.000000e+00 0.000000e+00 -4.113088e+00
5.000000e-02 9.875000e-01 2.626036e+00 5.459218e-01 -2.868929e+00
5.000000e-02 1.000000e+00 1.000000e+01 0.000000e+00 -2.767947e+00
3.750000e-02 9.750000e-01 -2.267891e-01 1.082894e+00 -3.493853e+00
2.500000e-02 9.625000e-01 -6.470248e-01 1.264811e+00 -3.662944e+00
1.250000e-02 9.500000e-01 -2.608966e-01 8.140562e-01 -3.199018e+00
0.000000e+00 9.500000e-01 0.000000e+00 0.000000e+00 -3.233684e+00
6.250000e-02 9.875000e-01 3.059481e+00 4.313923e-01 -2.421573e+00
6.250000e-02 1.000000e+00 1.000000e+01 0.000000e+00 -2.335105e+00
5.000000e-02 9.750000e-01 -8.553689e-03 9.046387e-01 -2.987713e+00
3.750000e-02 9.625000e-01 -7.386010e-01 1.153499e+00 -3.294336e+00
2.500000e-02 9.500000e-01 -5.475209e-01 1.059090e+00 -3.119553e+00
1.250000e-02 9.375000e-01 -1.790110e-01 5.738135e-01 -2.809447e+00
0.000000e+00 9.375000e-01 0.000000e+00 0.000000e+00 -2.829504e+00
7.500000e-02 9.875000e-01 3.426816e+00 3.497225e-01 -2.016160e+00
7.500000e-02 1.000000e+00 1.000000e+01 0.000000e+00 -1.950300e+00
6.250000e-02 9.750000e-01 2.213323e-01 7.625825e-01 -2.558205e+00
5.000000e-02 9.625000e-01 -7.439917e-01 1.014440e+00 -2.924073e+00
3.750000e-02 9.500000e-01 -7.337472e-01 1.066749e+00 -2.972533e+00
2.500000e-02 9.375000e-01 -4.032772e-01 8.266389e-01 -2.789023e+00
1.250000e-02 9.250000e-01 -1.191661e-01 4.058198e-01 -2.613292e+00
0.000000e+00 9.250000e-01 0.000000e+00 0.000000e+00 -2.621162e+00
8.750000e-02 9.875000e-01 3.743085e+00 2.910465e-01 -1.630802e+00
8.750000e-02 1.000000e+00 1.000000e+01 0.000000e+00 -1.581882e+00
7.500000e-02 9.750000e-01 4.554854e-01 6.537526e-01 -2.151604e+00
6.250000e-02 9.625000e-01 -6.888893e-01 8.990617e-01 -2.564532e+00
5.000000e-02 9.500000e-01 -8.378819e-01 1.004828e+00 -2.746665e+00
3.750000e-02 9.375000e-01 -5.883002e-01 9.124987e-01 -2.731044e+00
2.500000e-02 9.250000e-01 -2.812775e-01 6.370281e-01 -2.613599e+00
1.250000e-02 9.125000e-01 -7.760943e-02 2.883467e-01 -2.530942e+00
0.000000e+00 9.125000e-01 0.000000e+00 0.000000e+00 -2.533418e+00
1.000000e-01 9.875000e-01 4.019048e+00 2.478540e-01 -1.252113e+00
1.000000e-01 1.000000e+00 1.000000e+01 0.000000e+00 -1.213233e+00
8.750000e-02 9.750000e-01 6.894751e-01 5.705792e-01 -1.757607e+00
7.500000e-02 9.625000e-01 -5.963007e-01 8.091241e-01 -2.202789e+00
6.250000e-02 9.500000e-01 -8.702794e-01 9.388385e-01 -2.473699e+00
5.000000e-02 9.375000e-01 -7.195703e-01 9.271827e-01 -2.592392e+00
3.750000e-02 9.250000e-01 -4.300984e-01 7.621732e-01 -2.590877e+00
2.500000e-02 9.125000e-01 -1.895375e-01 4.944342e-01 -2.536872e+00
1.250000e-02 9.000000e-01 -4.889662e-02 2.125136e-01 -2.506847e+00
0.000000e+00 9.000000e-01 0.000000e+00 0.000000e+00 -2.506688e+00
1.125000e-01 9.875000e-01 4.264230e+00 2.156629e-01 -8.847556e-01
1.125000e-01 1.000000e+00 1.000000e+01 0.000000e+00 -8.525119e-01
1.000000e-01 9.750000e-01 9.203359e-01 5.069245e-01 -1.371966e+00
8.750000e-02 9.625000e-01 -4.751217e-01 7.391366e-01 -1.840473e+00
7.500000e-02 9.500000e-01 -8.510622e-01 8.852105e-01 -2.171771e+00
6.250000e-02 9.375000e-01 -7.871961e-01 9.193446e-01 -2.397785e+00
5.000000e-02 9.250000e-01 -5.463995e-01 8.317267e-01 -2.502833e+00
3.750000e-02 9.125000e-01 -2.986323e-01 6.412343e-01 -2.525495e+00
2.500000e-02 9.000000e-01 -1.224521e-01 3.959007e-01 -2.513309e+00
1.250000e-02 8.875000e-01 -2.930380e-02 1.649165e-01 -2.514480e+00
0.000000e+00 8.875000e-01 0.000000e+00 0.000000e+00 -2.513999e+00
1.250000e-01 9.875000e-01 4.485945e+00 1.915713e-01 -5.379323e-01
1.250000e-01 1.000000e+00 1.000000e+01 0.000000e+00 -5.104616e-01
1.125000e-01 9.750000e-01 1.147907e+00 4.583781e-01 -9.982538e-01
1.000000e-01 9.625000e-01 -3.309416e-01 6.860478e-01 -1.475208e+00
8.750000e-02 9.500000e-01 -7.902265e-01 8.468036e-01 -1.856616e+00
7.500000e-02 9.375000e-01 -7.990023e-01 9.115594e-01 -2.156427e+00
6.250000e-02 9.250000e-01 -6.131529e-01 8.796259e-01 -2.359532e+00
5.000000e-02 9.125000e-01 -3.877280e-01 7.506820e-01 -2.464031e+00
3.750000e-02 9.000000e-01 -1.967408e-01 5.527597e-01 -2.506121e+00
2.500000e-02 8.875000e-01 -7.468944e-02 3.315870e-01 -2.518691e+00
1.250000e-02 8.750000e-01 -1.604252e-02 1.358586e-01 -2.537626e+00
